"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"X200801",-1057.32023777848,273.294791875999,821.746785442936,294.749615930067,-248.038319455434,187.845091743171,-98.9546459096426,-112.011449541367,-21.3259712127179,-34.9002035993661,-156.060287285785,7.19280851309989,-72.339604747405,103.588477281363,-96.6198776777211,-7.18989767735902,138.598338088855,57.1836730960258,-16.1773007291209,75.683670912466,15.0579477414656,128.148684418063,-151.275059310959,90.5279067606793,64.7674323300152,21.2437807804152,-30.6761767057621,-22.2919601959185,-10.4973647845439,-36.0836481369152,-80.4157263854021,40.7249319525308
"X200802",-561.026254279858,41.7040585021216,652.111949628716,226.653134401613,-205.861498857531,-83.6469338750593,155.955240964656,59.5539880690628,112.533560096521,-38.3821543142304,-202.382177961607,128.504399004241,55.3862737236917,-68.5740797159885,29.1391707220583,-134.410240039243,324.067800220643,103.621434782689,-64.1655972380119,-84.0266813025296,-24.7126778009143,114.999647633442,-10.3803468038576,-72.6554532739286,66.3761926710461,-58.7842549533822,1.05847328034811,24.6008949985601,-5.9243838777008,41.9725890539516,33.2457535995436,41.8748949894135
"X200803",-993.169538217736,203.617437327855,432.401999955016,387.155217210409,-344.113575597161,-20.6341028415271,109.417433236991,-11.7159239979671,32.1368336070503,-21.9932751347475,-82.6181086816213,-38.6056121083074,30.1133167541923,110.96312353789,46.5955365892095,60.1652254289044,-58.487572715278,78.0165774341749,37.4064915328727,-30.4088306422235,0.826180697760071,146.896658531845,-35.1797837959184,-2.61071642247172,-72.9044420533955,-28.7769657717888,21.4941649065353,-47.3741272427638,-42.3991766177036,22.4215744347353,45.5644509117538,69.0315257137912
"X200804",-629.842075034918,131.437070538992,524.068991902967,194.39997209062,-423.782499088529,113.408180425285,210.601242532494,-20.4281486467764,181.910579172782,99.4503532964122,61.9891119380974,-118.114869698197,320.775485133312,81.4648408502437,-66.4411466106002,-74.8696906466696,57.6207696036008,92.1772039616957,-45.6704540681155,-116.268760499954,45.157830395197,14.275294499417,24.774239259569,-78.9004716592055,-5.1881637988438,58.0471154749434,23.0164862315206,16.6333204297908,-100.180316443016,-86.1679473356642,-14.5253697410079,0.139597560377684
"X200805",-1206.19053678303,125.111764940844,854.66983144301,21.7918262134746,-365.74631365225,123.493578391292,107.268983342684,-14.0581881725609,144.697782662282,70.7633563465453,120.142889771588,-65.0914406374922,22.8904365331107,53.8917968187248,-136.640097758576,-58.4779787283654,-206.812176531342,-104.623380087747,-2.49454898977535,82.7039861196888,-23.0921044585496,165.346085743134,-59.2248401661792,19.519932464577,-97.0632275570784,6.16376322184016,-47.1060659567314,-18.0647689307028,1.17583407805415,-38.1266394680003,-0.172978859836609,47.8048738949688
"X200806",-1269.38670262962,144.316976237321,699.076425124044,-42.4788085854842,-250.368985291977,-137.961464317462,210.943817233362,87.6617812516955,163.870733268957,349.753115996603,-0.579025759018005,-197.772518228085,-191.183029933925,-83.285422860715,-1.49302906127769,-126.229736807005,-42.7297960235283,11.8697775985852,-123.000096756524,-42.2405528833703,-84.2789390960071,3.35910547456545,-30.1571719880365,59.1809936850697,76.2300882148151,-17.8541105587549,-1.92532244811519,3.35915618135572,-11.9706990205411,-1.30336222753224,18.947092120691,-18.0454009620573
"X200807",-1885.82266334838,-78.883759865754,500.216611861666,110.765263971385,-401.626351415332,-69.071820593225,142.815988096144,239.322081731102,169.307641670578,63.3118725316336,-19.0921841303435,31.8735170451482,-81.1261393055586,102.29031950024,-127.673080424398,22.4841118091137,-82.2502612198852,-1.5826848947429,84.0290375283507,-72.8663285427531,51.6455151925659,30.6375753463625,-44.9709402071066,114.963182413204,64.4985404498378,39.4007313879042,8.67768426183564,-22.5573549186033,-15.4731770914439,31.6004712456708,20.5273804636764,-84.0173622335072
"X200808",-851.011747106135,-326.129077344013,449.934981895907,196.2927839208,-805.076075784709,-511.404643437405,-199.754598725793,-180.642007814002,200.129281174539,-56.5857233431372,19.3708201377491,-21.4537152808615,-45.3821889280767,-7.26137489621635,-56.1814960757117,-120.63586617159,-115.327021930971,2.88284405064184,37.9975757334224,-18.3247461412854,42.0305444682674,-131.365762075197,40.9236555048043,-70.2378659145163,28.6908421533494,41.326737973448,-60.4331627085375,19.1251551413505,32.9828342515926,8.39825111655495,-15.2756376886812,27.2163230434354
"X200809",-380.914782622825,-3.17451090956448,684.364886962371,13.6181108108155,-110.648580660182,-105.171465163286,64.4415143421302,125.267480707576,62.2469000836566,-9.24471362348015,-48.1726590919707,-99.6318796037998,-178.733887699633,81.5965421411814,144.54678339397,11.7724248813412,-105.914772151744,-51.0693257137594,-114.620828539438,43.2804064479241,-61.6256077594035,19.2223193317783,89.1833955778818,-72.506683717864,-118.753710956432,-32.1539434686541,-1.76308175299212,108.739230347322,74.4135454428771,51.3888265354172,-38.7940564005987,-45.1457290723916
"X200810",-1514.57970601228,-114.896222939664,493.87162952564,150.297782548461,67.7452902827305,-167.864593169394,-47.5502407470732,131.177357970493,80.5417352831586,166.073180790783,11.9317489867046,196.671865536261,20.7742463747952,52.8420835871596,66.4494980215562,-16.0893179434071,-27.5163976202757,2.94307334455677,-46.3138283803951,75.0547593172878,170.780062720334,35.1869979216629,169.32385046021,3.46816963049552,-69.2357971121081,35.5781532777381,50.8294233988641,40.8930564228241,-62.0689052824637,-5.48424315110422,-49.1198659679648,-33.124378315792
